Components,Train 0-1 Loss,Test 0-1 Loss,Train MSE,Test MSE,Weight Norm
100,0.8096,0.8344,0.09658456698172115,0.0972365916965161,1.612106426596543
2525,0.3026,0.7472,0.06620106325870789,0.11622175839910331,30.458210237840973
4950,0.056599999999999984,0.748,0.04241162692949453,0.16963864179177973,70.3008432189732
7375,0.0029000000000000137,0.7856,0.021100180257095653,0.32168320663808253,140.55335518631014
9800,0.0,0.8732,0.0015044508368029102,4.234955328941466,669.6251405167575
9850,0.0,0.8815999999999999,0.0010765149521024615,5.6939106850076815,773.4401907282402
9900,0.0,0.896,0.0007552689626957986,8.842813238573846,966.5207302850885
9950,0.0,0.89,0.00038972809688796965,17.25906657615041,1346.6419008493092
10000,0.0,0.9008,3.9090303567665067e-26,1680.6508358898736,13556.840203768703
10050,0.0,0.888,1.3153664388373022e-07,17.42558459067871,1377.8054439661814
10100,0.0,0.8868,1.825182059895186e-08,8.734853068662128,976.225823113196
10150,0.0,0.884,5.3173318139087074e-09,5.951285578676694,798.4232194674341
10200,0.0,0.8788,2.059276211477431e-09,4.1908598048349806,676.5915230178326
10201,0.0,0.8848,2.066045256014474e-09,4.2528323411472195,673.4250098548063
13758,0.0,0.7787999999999999,9.767974821849304e-13,0.30049842415436984,183.18877187721407
17315,0.0,0.7488,3.090783921143373e-13,0.18678007674076258,147.2473024914441
20872,0.0,0.7232000000000001,2.0201772283297267e-13,0.1515502600360267,132.41699208267661
24429,0.0,0.698,1.6363553541066895e-13,0.13012955373733223,124.63802774365051
27986,0.0,0.6784,1.3687730997730033e-13,0.11747094855917688,119.28837487682911
31543,0.0,0.6599999999999999,1.3418685344296853e-13,0.10947776169092986,115.33480001513844
35100,0.0,0.6568,1.2547557860194397e-13,0.10284900499182763,113.08214166578306
38657,0.0,0.6504,1.290921597790209e-13,0.10094341104961306,110.91756877731974
42214,0.0,0.6508,1.260999768515023e-13,0.09835798146879539,109.49786851542353
45771,0.0,0.63,1.2767484735758804e-13,0.09531746898304053,108.13357781348397
49328,0.0,0.632,1.2735421121252257e-13,0.09329833768194169,107.10760179821038
52885,0.0,0.6172,1.365102130912272e-13,0.09072018849172761,106.19649977241963
56442,0.0,0.606,1.3045119812316819e-13,0.08925580903146553,105.15135451284318
60000,0.0,0.6128,1.4482596625061973e-13,0.08772583787075791,104.79400982073105
