Components,Train 0-1 Loss,Test 0-1 Loss,Train MSE,Test MSE,Weight Norm
100,0.8059000000000001,0.8291999999999999,0.09691675735352913,0.09778933284903758,1.5896035492103584
2525,0.3084,0.75,0.06624713275470182,0.11535311561796986,30.462577226553382
4950,0.059599999999999986,0.7616,0.04273998668555807,0.1692305418605318,69.93167285089845
7375,0.0038000000000000256,0.7844,0.021216514458229526,0.3237230456397376,139.4835281046876
9800,0.0,0.8784,0.0015881112658419293,3.980372687231475,644.4280056548091
9850,0.0,0.8724000000000001,0.001090333385401853,5.41723160071677,755.7704934024538
9900,0.0,0.8652,0.0007158139391871376,8.601822712321368,954.5240427536711
9950,0.0,0.896,0.0003615062788158547,14.396508180643556,1242.0674652353155
10000,0.0,0.8848,4.2989196219293395e-05,42.50631561030367,2143.10726366082
10050,0.0,0.8988,1.0358236102776097e-06,17.303307454230993,1364.0419931305964
10100,0.0,0.8924,1.287684313049451e-07,8.64345657499254,964.1049494392074
10150,0.0,0.8744000000000001,3.148882970466222e-08,5.37937814002821,768.5832306897547
10200,0.0,0.87,1.540656425401747e-08,4.269684294670883,678.3173446458858
10201,0.0,0.872,1.4425882634216435e-08,4.131913423181803,671.6798254618029
13758,0.0,0.7856,5.802150164017058e-12,0.30095462673599765,182.04420772477846
17315,0.0,0.7544,1.6171766620173826e-12,0.18871573389483043,147.1198080857893
20872,0.0,0.7252000000000001,8.825183393596793e-13,0.1503595015276667,132.29235416630678
24429,0.0,0.7092,6.220705230710354e-13,0.13200948605588342,124.43680106764059
27986,0.0,0.7024,4.8193030642022e-13,0.12004305295209768,119.21868115971336
31543,0.0,0.6792,4.076137305177084e-13,0.11220562911949943,115.63972595148714
35100,0.0,0.6736,3.56931588516304e-13,0.10650809664613133,113.05149998194102
38657,0.0,0.6696,3.176199352596367e-13,0.10161511011950206,110.80993512752556
42214,0.0,0.6468,2.9672588426106085e-13,0.09815075953402826,109.36818092567987
45771,0.0,0.6552,2.7813944048775314e-13,0.09730761936273702,108.33576530570865
49328,0.0,0.6348,2.594883238756044e-13,0.09378478393179154,106.8711248502372
52885,0.0,0.6312,2.489888758706526e-13,0.09287634434935901,106.19143434353194
56442,0.0,0.6335999999999999,2.3931023297439657e-13,0.09099290571835239,105.43169773500158
60000,0.0,0.6208,2.3002323514558247e-13,0.0900545054624852,104.65599970857912
